"OV1002 Control Day1","OV1002 Control Day7","OV1002 Control Day14","Molecule"
0.122822328760254,-0.0188653971759835,-0.205028470496668,"AKT1"
-0.123110095856035,0.0167086761356126,-0.0280825010251822,"AKT1"
-0.0953206365276493,0.0151479294672987,0.0164171074143,"AKT1"
0.0250327443694939,0.0899567470419489,-0.0177515621716135,"BRCA1"
0.0885046749692459,-0.0477329360963875,-0.088985505267101,"BRCA1"
0.033685236638627,0.0986762342952285,-0.175227741925272,"BRCA1"
-0.0940406164063916,-0.0170565689900045,0.0301372636935379,"BRCA1"
-0.0160942569125848,0.00651787090789524,-0.0456635572753865,"CCNB1"
-0.0653557437207759,0.0862390828338748,-0.042449699575402,"CCND1"
-0.0303823383200379,-0.0171352672285332,0.0630014184656436,"CDH1"
-0.00858859040916515,0.132741311340805,0.124905056972211,"CDK2"
-0.0997264897165997,-0.0131385945214355,0.0307926984483182,"CDK2"
0.0138680380254277,0.0483324214605538,-0.0858606793858503,"CDKN1B"
0.0141942921967626,-0.165325965592853,-0.0653864215300466,"CDKN1B"
-0.0124130885327356,0.00150397039604444,0.00207552479318274,"CLDN7"
0.058622645923384,-0.134005093949882,0.0688160617959412,"CTNNB1"
-0.0424664540874954,0.184418107374182,0.038175919809048,"CTNNB1"
-0.032426887237103,0.0805288012652634,0.111383562100152,"CTNNB1"
-0.0147579275173342,0.166321978354644,0.161038596713136,"CTNNB1"
0.0514513453991634,0.0502044168840962,0.0208096526972263,"CTNNB1"
0.0526664862796105,0.068680312159534,0.135165864932694,"CTNNB1"
-0.0506911306867495,0.0525917995109668,-0.0277156343084091,"CTNNB1"
-0.0851954695678624,0.0658929342528067,-0.0651759378235149,"EGFR"
0.0681357645094963,-0.0118750373228114,-0.151975667634413,"EGFR"
-0.0614001674323549,0.00741004686734731,-0.124554682009198,"EGFR"
0.0780298931106433,0.0087566818866005,-0.0400078258349573,"EGFR"
0.017112304535314,-0.204262023367113,0.0855025330138814,"ERBB2"
-0.214657233427528,-0.077484414407283,0.112834155656018,"ERBB2"
-0.0770881306404507,-0.0109801526540849,0.00578558792594541,"ERBB2"
-0.118473121920515,0.0912025424186752,-0.0241815033431897,"ERBB3"
-0.0692331909371928,0.00284528930549,-0.000607119086078356,"ERBB3"
0.243101389844637,0.039203893948262,0.0509909129797709,"ERBB3"
-0.118574647593374,0.127584983948386,0.0249699219534374,"ERCC1"
-0.186167353442535,-0.02507452965414,0.13453231725763,"ERCC1"
-0.0539295574859027,0.0464880858027192,-0.0115585316003448,"ERCC1"
-0.071025542846028,0.0667055716798792,0.0809624712796944,"ERCC1"
-0.0115525638464209,-0.121261551199406,0.0909821076376804,"ESR1"
-0.0879309393391114,-0.119063077356001,0.0183579185465518,"HIF1A"
0.131254923181855,0.0344144444948901,-0.000225666466503127,"HIF1A"
0.18290040891999,-0.0654870379441095,-0.204348803424841,"HIF1A"
0.193235697388507,0.00712135475253906,-0.184116833654608,"IGFBP3"
0.293549202077927,0.0557529676817832,-0.227252423538321,"IGFBP3"
0.0309049266625422,0.0341376326664116,-0.0233588356609754,"MAPK1"
0.0608503398388153,0.02377234858351,0.0204378646834239,"MAPK1"
0.0619408468654141,0.057495878785325,0.0537856413350853,"MAPK1"
-0.0979954032306305,0.0539435182727371,-0.148789082517719,"MET"
-0.0140526808914987,-0.0223156646985794,-0.0117250446332893,"MLH1"
0.0662530464003712,-0.118394155977015,0.0818403278357221,"MSH2"
-0.0714977745936719,-0.0795770991984505,0.0242753957246657,"MSH2"
-0.031083087134582,-0.124790239386714,0.0445514025773301,"MSH6"
-0.0612507868009469,-0.0316832511377489,0.0997356287392424,"MYC"
-0.0357574832386687,-0.227274456789045,0.0555656429023064,"MYC"
-0.0454090360057124,-0.0147815872371304,-0.0378498929812401,"NCOA3"
0.000205354271080538,-0.0582661277543539,-0.000627196670822228,"NCOA3"
-0.0333687200243526,0.165685466658128,0.0223521314870782,"PGR"
0.0840070328333177,-0.0351128459382314,0.066424935706601,"PMS2"
0.0838100636403425,0.00131122752140556,0.189718176835144,"PMS2"
0.109942659396283,-0.131416228590514,0.0051079029757799,"PMS2"
0.0441639884769369,-0.0370545192993468,-0.106706267379341,"PTEN"
0.00365012913596807,0.00327037800627483,-0.0169745583924903,"RPS6"
0.0387765546855161,-0.025790642957443,0.00992742303208161,"RPS6"
-0.058326559272056,-0.206098167007278,-0.0250165130499782,"SERPINE1"
0.162898223985666,0.0590904127702654,0.0333303164008603,"VIM"
0.130624671880277,0.0320859526854045,-0.0313720510502469,"VIM"
