"HOX424 Carbo Day1 3","HOX424 Carbo Day2 3","HOX424 Carbo Day7 3","HOX424 Carbo Day14 3","Molecule"
6.042621824,5.493805961,5.780416574,6.043188762,"AKT1"
8.659438313,9.190406729,9.121627415,9.478499117,"AKT1"
9.763536588,8.932762655,9.324234443,9.221129195,"AKT1"
6.215089696,5.884553718,5.976451441,6.131364102,"BRCA1"
7.205000077,7.503650621,6.848069977,7.825043185,"BRCA1"
5.785251129,5.846612242,6.04587695,6.632751211,"BRCA1"
6.466035305,6.960750656,6.534910278,6.919319983,"BRCA1"
8.188156403,7.910603865,8.066143765,8.596601901,"CCNB1"
11.13967005,11.06867116,11.03764348,10.50606851,"CCND1"
10.26356356,10.81100674,10.81013814,10.46196837,"CDH1"
6.416857766,6.520720628,6.227049513,7.14673881,"CDK2"
8.603896656,8.086016315,8.696189762,8.767072799,"CDK2"
7.67674214,7.932025088,7.62968103,7.734630435,"CDKN1B"
8.740336263,8.228408317,8.405977825,8.330977756,"CDKN1B"
10.51390374,11.18251471,10.73734687,10.97976925,"CLDN7"
6.539379031,6.816314725,6.492590001,7.009814925,"CTNNB1"
5.492013996,5.121306284,5.426446236,5.485826164,"CTNNB1"
8.292832692,7.973246053,7.902802317,7.997908144,"CTNNB1"
7.888269509,7.817036163,7.657238098,7.824842741,"CTNNB1"
6.030066933,6.152158691,5.582569812,5.846103221,"CTNNB1"
5.740893762,5.485639603,5.48958716,5.601310253,"CTNNB1"
6.04706634,5.639420499,5.539041051,5.561808834,"CTNNB1"
5.90897355,6.027897441,5.905446995,5.821033925,"EGFR"
5.229823514,5.28580981,5.380745785,5.484969425,"EGFR"
5.40245979,5.530269031,5.581192237,5.439614914,"EGFR"
6.626891227,6.819941452,6.903315507,6.581508272,"EGFR"
5.230143975,5.584644403,5.601910746,5.571822843,"ERBB2"
6.035788693,6.294462785,6.434008049,5.814203977,"ERBB2"
13.56048845,13.56646944,14.06262497,13.52197705,"ERBB2"
6.738153021,6.626886901,6.61828248,6.347050969,"ERBB3"
9.380307898,9.936452038,9.796574338,9.147156484,"ERBB3"
5.743524751,5.656186015,5.781588837,5.459567923,"ERBB3"
5.573078737,5.496716281,5.49707018,5.496314525,"ERCC1"
5.511350145,5.519394731,5.426429414,6.287280467,"ERCC1"
7.045537022,7.109944973,6.838277846,7.145922897,"ERCC1"
6.649586617,6.683118736,6.689206545,6.455783828,"ERCC1"
5.73312489,5.522067143,5.579101251,5.785284074,"ESR1"
6.896081471,6.82732875,6.822636807,6.881547087,"HIF1A"
7.123193128,7.300729771,7.126851233,7.187639491,"HIF1A"
8.818750038,8.411508312,8.408324051,8.423023631,"HIF1A"
7.860899215,8.589224395,7.897902868,9.124540574,"IGFBP3"
6.959102483,8.150489055,7.411317744,8.933771548,"IGFBP3"
5.863437348,5.959105016,6.163492511,5.464264156,"MAPK1"
6.78075436,6.061686388,6.378541679,6.237883017,"MAPK1"
6.884199917,7.009211622,7.094416601,6.470630059,"MAPK1"
8.102919704,7.702890626,7.629828297,7.646148208,"MET"
7.492847165,7.521730149,7.485414607,7.635003937,"MLH1"
7.221286088,6.394497678,6.492007398,7.08387407,"MSH2"
6.598491649,6.387173503,5.853308732,5.755969289,"MSH2"
9.401388545,8.421518503,8.801675785,8.911617147,"MSH6"
9.950617546,9.346605956,9.232649169,9.93979222,"MYC"
9.246001449,8.841453149,8.502351376,8.870803921,"MYC"
9.013304787,8.435316016,8.684650068,8.757378758,"NCOA3"
5.502619597,5.608684449,5.593897584,5.737999893,"NCOA3"
5.461267814,5.282408194,5.268458972,5.447323911,"PGR"
5.537923621,5.673687933,5.811585137,5.845330211,"PMS2"
8.865670626,8.986355421,8.739341342,8.914699786,"PMS2"
5.545379059,5.206273737,5.377586363,5.439858437,"PMS2"
8.105233509,7.517932331,7.995838683,8.070239077,"PTEN"
13.17082538,12.63820037,13.02387943,13.09825072,"RPS6"
12.77979145,12.75853482,12.65576326,12.96478397,"RPS6"
5.654644336,6.074266231,5.766304586,5.687928032,"SERPINE1"
7.589758117,7.294032652,7.328725035,7.682144449,"VIM"
5.775938416,6.142862756,6.224289078,6.577440171,"VIM"
