"HOX424 CarboTax Day1 1","HOX424 CarboTax Day2 1","HOX424 CarboTax Day4 1","HOX424 CarboTax Day7 1","HOX424 CarboTax Day14 1","Molecule"
5.821677133,5.833374805,5.666005761,5.858749407,5.736234253,"AKT1"
8.942241499,9.327196372,8.958551468,8.702777683,9.186431172,"AKT1"
9.377787491,9.385523669,8.999506483,9.030186994,9.059629136,"AKT1"
6.018451962,5.699028874,6.005719083,6.272594772,6.212633014,"BRCA1"
7.395360604,7.677641244,7.013426388,6.951802739,7.10762546,"BRCA1"
5.959555579,5.69555208,6.301534351,5.990995197,5.89156637,"BRCA1"
6.943616522,7.087762421,6.900750337,6.69494291,6.709090744,"BRCA1"
8.198751143,8.303217611,7.998755486,7.955210497,7.795442903,"CCNB1"
10.79330251,10.59374822,11.16793831,11.89128678,10.79816138,"CCND1"
10.61633666,10.6395037,10.6904532,10.80730178,10.69789881,"CDH1"
6.58848091,6.838885671,6.501443211,6.252456215,6.707736233,"CDK2"
8.75210551,8.990532307,8.573817212,8.524557889,8.947926373,"CDK2"
7.918339506,7.974873179,8.041504832,7.50438438,7.950803186,"CDKN1B"
8.529540016,8.525908955,8.646257886,8.739328565,8.251362421,"CDKN1B"
10.68360615,10.59508166,10.33005895,10.70014036,10.62451433,"CLDN7"
6.137956777,6.189375674,6.494049515,6.585130304,5.677164369,"CTNNB1"
5.316859169,5.289783983,5.226313332,5.424567938,5.435481183,"CTNNB1"
7.890039999,8.193128781,8.467910015,8.109851485,8.308313533,"CTNNB1"
7.705235084,8.069176883,8.38512755,8.35004484,7.944922614,"CTNNB1"
5.76089562,5.762223726,5.864031046,5.898429907,5.989428526,"CTNNB1"
5.491804735,5.501002274,5.495159947,5.52196517,5.516406306,"CTNNB1"
5.514880813,5.429390423,5.563100816,5.433529194,5.346949546,"CTNNB1"
6.139217072,6.285840364,6.259609114,6.063777866,6.06345739,"EGFR"
5.529891061,5.32800261,5.385864417,5.356912319,5.326822971,"EGFR"
5.451698649,5.32750702,5.448571413,5.336486403,5.434029015,"EGFR"
6.933469069,6.643105877,6.859305109,7.02695999,6.949512058,"EGFR"
5.672646399,5.694311273,5.824626642,5.794547745,5.713292903,"ERBB2"
6.605634807,6.69678158,6.552673224,6.679498124,6.229369189,"ERBB2"
13.60650593,13.70688968,13.77637099,13.56200404,13.83250071,"ERBB2"
6.854520229,6.775832751,6.671759921,6.684805106,6.670413784,"ERBB3"
9.466646977,9.484909253,9.672911495,9.735868064,9.685653512,"ERBB3"
5.955992473,5.823300132,5.820797615,5.724493156,5.71703761,"ERBB3"
5.587297503,5.690972274,5.61004883,5.377297211,5.601316677,"ERCC1"
5.758659996,5.820190052,5.866747011,5.688723024,5.674595124,"ERCC1"
7.006723535,7.076442655,6.865541163,6.550606731,7.028836332,"ERCC1"
6.894443514,7.039452853,6.65021903,6.688780663,6.841030078,"ERCC1"
5.667133283,5.345640159,5.701341097,5.549016712,5.525317625,"ESR1"
6.823523755,6.770978458,6.826340361,6.837013789,6.312453824,"HIF1A"
7.237403658,7.48493744,7.254738354,7.227921807,6.995843809,"HIF1A"
8.263627678,8.237563717,8.430227669,8.467607083,7.543634479,"HIF1A"
8.38221048,7.677349449,7.792601866,8.676235489,8.578033317,"IGFBP3"
7.72281482,7.005552428,7.263521204,7.830421297,8.23414593,"IGFBP3"
6.168218024,6.343241076,6.026668123,6.090213931,6.154638279,"MAPK1"
6.420168316,6.522417119,6.498836514,6.499015136,6.787007937,"MAPK1"
7.055865738,7.133899502,7.114604828,6.881899554,7.131756623,"MAPK1"
7.69267296,7.571691036,7.912192994,7.948972156,7.686437102,"MET"
7.455302029,7.755062574,7.534249893,7.736252141,7.5503458,"MLH1"
6.892295824,6.452197682,6.583199024,6.553666931,6.209716566,"MSH2"
6.216467936,6.102773878,6.186683037,6.046547309,5.79422699,"MSH2"
8.996742632,8.893077054,9.279170764,9.139608359,8.8972494,"MSH6"
9.666930052,10.16348999,9.619873951,9.381945949,9.788466923,"MYC"
8.897212994,9.386120594,8.92084918,8.897173969,8.596370985,"MYC"
8.874736347,8.534017198,8.823113602,8.990897805,8.825986717,"NCOA3"
5.75491453,5.658649915,5.700615857,5.486573988,5.869178959,"NCOA3"
5.569012735,5.250131621,5.324258207,5.401386143,5.442261763,"PGR"
5.504240954,5.895401299,5.688740424,5.559638114,5.767852932,"PMS2"
8.802103461,9.282307587,8.968067689,8.689068933,8.78415974,"PMS2"
5.741638943,5.533164649,5.43434246,5.562709932,5.619290995,"PMS2"
8.044196312,8.118386909,8.063275763,7.902440313,8.060315528,"PTEN"
13.32248834,13.30286683,13.23973809,13.19595016,13.17048666,"RPS6"
12.81726107,12.9749221,12.80979377,12.69408678,12.76472191,"RPS6"
5.965524321,6.045859892,5.915668189,5.962085238,6.013440052,"SERPINE1"
7.537184314,7.285987679,7.430846275,7.22758715,7.419875826,"VIM"
6.133453295,5.934194345,5.99586868,6.20371064,6.115525655,"VIM"
