"OV1002 Carbo Day1 1","OV1002 Carbo Day2 1","OV1002 Carbo Day4 1","OV1002 Carbo Day7 1","OV1002 Carbo Day14 1","Molecule"
5.818143145,5.522523005,5.576284142,5.831420918,5.654458746,"AKT1"
10.22008248,10.03771032,10.2293831,10.10280368,10.37884506,"AKT1"
10.63694628,10.42541491,10.39712809,10.53450602,10.51621192,"AKT1"
6.03428055,6.019364064,6.017109309,5.951143089,6.153974747,"BRCA1"
6.443054799,6.742813588,7.030889044,6.636600709,6.448665733,"BRCA1"
6.197656414,6.16257034,6.054238799,5.938889569,5.908949375,"BRCA1"
5.840192555,6.486134741,6.30518914,6.252737801,6.031738553,"BRCA1"
8.177688554,8.481254427,8.756023445,9.256483458,8.715419476,"CCNB1"
10.56168309,10.39071704,10.21528431,10.5158043,10.91949909,"CCND1"
10.75777658,10.65681366,10.70194192,10.80268418,10.76754222,"CDH1"
7.655645987,7.650504321,7.743983516,7.412869324,7.342192922,"CDK2"
10.00566979,10.0121529,10.35397179,10.35539506,10.05013905,"CDK2"
7.760987739,7.742247141,7.907343007,7.600056827,7.491942599,"CDKN1B"
7.397129128,7.870587717,7.704889464,7.823930406,7.264817364,"CDKN1B"
10.2683699,10.18543607,9.918647654,10.2048014,10.07579985,"CLDN7"
5.505200306,5.507847539,5.393145613,5.556238784,5.427328838,"CTNNB1"
5.349372464,5.597377904,5.623024378,5.388858387,5.465760263,"CTNNB1"
7.709253406,7.729152221,7.793452016,7.749723454,7.672091883,"CTNNB1"
7.514903643,7.484398407,7.452099159,7.524733946,7.446354263,"CTNNB1"
5.873333736,5.856932141,5.74285677,5.624965224,5.906498118,"CTNNB1"
5.481936162,5.636319722,5.644745081,5.552976446,5.375557382,"CTNNB1"
5.450718213,5.572704442,5.745284998,5.491124045,5.663395724,"CTNNB1"
6.198690407,6.091663699,6.08262136,6.165915438,5.979896147,"EGFR"
5.249704498,5.367671881,5.428212079,5.431937016,5.331801932,"EGFR"
5.208177041,5.304220728,5.551452479,5.149185369,5.578231929,"EGFR"
6.211107055,6.18142288,5.949058568,6.071464329,6.164690898,"EGFR"
5.636910204,5.674997617,5.59921958,5.690288371,5.551652094,"ERBB2"
5.350438804,5.415662358,5.287409108,5.194146681,5.337873975,"ERBB2"
9.740648243,9.886770725,9.938859015,9.859637117,9.426066237,"ERBB2"
6.085165017,6.403857063,6.334999427,6.307070846,6.253163104,"ERBB3"
9.61912646,9.689147846,9.642081002,9.806663237,9.539264797,"ERBB3"
5.714663094,5.725943893,5.748082908,5.607104741,5.479872079,"ERBB3"
5.965914355,5.557797952,5.876617869,6.073907991,5.681488096,"ERCC1"
6.319617886,6.147433641,6.584734838,6.050989634,5.947078864,"ERCC1"
8.281053764,8.188375994,8.3823533,8.017638741,7.906404515,"ERCC1"
8.423011809,8.260368329,8.109763101,8.05478127,7.972646427,"ERCC1"
9.543042946,9.389867273,9.778624608,9.71054565,9.485577145,"ESR1"
6.589375558,6.52468042,6.349472552,6.579317381,6.371723871,"HIF1A"
7.110356449,7.076479319,6.690332505,7.17692039,7.055053719,"HIF1A"
7.121349462,7.661853593,7.604800259,7.830253486,7.493023792,"HIF1A"
10.21235416,9.967466026,9.067983406,9.365556895,9.133844156,"IGFBP3"
9.81012804,9.449657682,8.445189201,8.870151048,8.614167552,"IGFBP3"
5.584752679,5.820770953,5.667205786,5.815599045,5.716803816,"MAPK1"
6.414094504,6.261204445,6.036378456,6.392669027,6.576015166,"MAPK1"
6.626953599,6.543571647,6.133056624,6.390366938,6.480649004,"MAPK1"
7.304580331,7.224457732,7.16240385,7.440278012,7.402649458,"MET"
7.698013367,7.725257672,7.969263749,7.69352211,7.705237233,"MLH1"
6.301972004,6.25304456,6.580308798,6.654808775,6.035133284,"MSH2"
5.700283092,6.010211305,5.554739793,6.031757161,5.810871881,"MSH2"
9.738612531,9.868350981,9.76996448,9.832853424,9.920015107,"MSH6"
9.747473332,9.239010532,9.967060155,9.662082901,10.04318377,"MYC"
7.881890156,7.889123804,8.36643499,8.241622446,8.148417673,"MYC"
8.290695284,8.507352441,8.354471722,8.460255266,8.405204567,"NCOA3"
5.92455363,5.759872129,5.69301115,5.652567695,5.766591374,"NCOA3"
5.168196939,5.500101519,5.380872937,5.605560168,5.5592536,"PGR"
5.361955494,5.501223648,5.602305517,5.763812032,5.684563393,"PMS2"
7.420078758,7.335741258,7.540958833,7.404565492,7.139249467,"PMS2"
5.801945257,5.646759859,5.524286709,5.615625124,5.515326696,"PMS2"
7.596480099,7.616708675,7.566156079,7.405537761,7.412827011,"PTEN"
12.89912335,12.88525585,12.97407377,13.10303017,12.75360093,"RPS6"
12.28699248,12.17491488,12.36189424,12.47955808,12.03923151,"RPS6"
5.554477016,5.838165211,5.737260893,5.949367671,5.934562992,"SERPINE1"
10.69605125,10.34559704,9.950645571,10.00693658,10.53373353,"VIM"
10.13569166,9.413893142,9.611776128,9.267583738,9.904771904,"VIM"
